Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
1,99,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Tak,AK_D05_06_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you obliged to stop the vehicle in the presented situation?,,,,Bist du in der dargestellten Situation dazu verpflichtet  das Fahrzeug anzuhalten?,,,,Чи зобов'язані Ви зупинити свій транспортний засіб у цій ситуації?,,,,"<video src=""AK_D05_06_org.webm"" controls>"
2,100,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Tak,AK_D10_30_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm100.webm,,,,Are you obliged to stop the vehicle in the presented situation?,,,,Sind Sie in der dargestellten Situation dazu verpflichtet  das Fahrzeug anzuhalten?,,,,Чи зобов'язані Ви зупинити свій транспортний засіб у цій ситуації?,,,,"<video src=""AK_D10_30_org.webm"" controls>"
3,109,Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?,,,,Nie,AK_D11_43org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm109.webm,,,,Can you continue driving in this situation?,,,,Darfst du in der dargestellten Situation die Fahrt fortsetzen?,,,,Чи Ви маєте право продовжувати рух у представленій ситуації?,,,,"<video src=""AK_D11_43org.webm"" controls>"
4,110,Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?,,,,Nie,AK_D11_45org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you allowed in this situation to turn right despite the light displayed?,,,,Darfst du in der dargestellten Situation - trotz des gegebenen Signals - rechts abbiegen?,,,,Чи Ви маєте право у представленій ситуації повертати вправо  незважаючи на сигнал  що подається?,,,,"<video src=""AK_D11_45org.webm"" controls>"
5,290,Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?,Nie mniejszą niż 800 metrów.,Nie mniejszą niż 500 metrów.,Nie mniejszą niż 200 metrów.,B,,C,pjm290.webm,pjm290a.webm,pjm290b.webm,pjm290c.webm,What should be the safe following distance between columns of lorries?,Not less than 800 metres.,Not less than 500 metres.,Not less than 200 metres.,Wie groß soll der Abstand sein  der zwischen den fahrenden LKW- Kolonnen  die Straßentransport für eigenen Bedarf ausführen  zu halten ist?,Nicht kleiner als 800 meter.,Nicht kleiner als 500 meter.,Nicht kleiner als 200 meter.,,,,,
6,293,Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić  aby zachować bezpieczny odstęp od poprzedzającego pojazdu?,Prędkość pojazdów.,Moc silnika.,Szerokość pojazdów.,A,,C,pjm293.webm,pjm293a.webm,pjm293b.webm,pjm293c.webm,You are driving a lorry. Which of the following factors should you take into account to keep a safe distance from the vehicle in front?,Speed of the vehicles.,Power of the engine.,Width of the vehicles.,Sie fahren einen LKW. Welchen der genannten Faktoren haben Sie zu berücksichtigen  damit ein sicherer Abstand zu dem vorausfahrenden Fahrzeug gehalten wird?,Die Geschwindigkeit der Fahrzeuge.,Die Motorleistung.,Die Breite der Fahrzeuge.,,,,,
7,352,Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?,,,,Nie,IMG_4251orgbm.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm352.webm,,,,Are you allowed to make a U-turn on a roadway with this sign?,,,,Darfst du auf der mit diesem Zeichen gekennzeichneten Fahrbahn wenden?,,,,Чи дозволяється розворот Вашого транспортного засобу  якщо проїжджа частина позначена цим знаком?,,,,"<img src=""IMG_4251orgbm.jpg"">"
8,469,Czy w tej sytuacji powinieneś oczekiwać  że następnym sygnałem będzie światło zielone?,,,,Tak,3106D15_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm469.webm,,,,In the presented situation  should you expect that the next light will be green?,,,,Soll man in der dargestellten Situation erwarten  dass als nächstes Signal das grüne Licht kommt?,,,,Чи у цій ситуації слід очікувати  що наступним сигналом буде зелене світло світлофора?,,,,"<img src=""3106D15_a_org.jpg"">"
9,475,Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?,,,,Nie,0118D14MM_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm475.webm,,,,In the presented situation are you allowed to turn right without stopping before the traffic lights?,,,,Darf man in der dargestellten Situation rechts abbiegen  ohne vor der Ampel angehalten zu haben?,,,,Чи можна в цій ситуації повертати вправо  не зупиняючись перед світлофором?,,,,"<img src=""0118D14MM_a_org.jpg"">"
10,477,Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?,,,,Nie,2064D14MM_a_org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm477.webm,,,,Does the light signal for you lane allow for making a U-turn in this situation?,,,,Erlaubt in der dargestellten Situation das Lichtsignal  das für Ihre Fahrspur gesendet wird  zu wenden?,,,,Чи у цій ситуації сигнал світлофора для Вашої смуги руху дозволяє Вам на розворот транспортного засобу?,,,,"<img src=""2064D14MM_a_org.jpg"">"
